# init_mag dcoeff ccoeff
9.489107889e-01 5.059340856e-02 5.422580352e-02
8.055007697e-01 9.717966131e-02 6.575857108e-02
1.447359603e+00 8.727633091e-02 2.854495707e-02
1.251033836e+00 2.673603191e-02 1.835415729e-02
9.720484599e-01 3.219924271e-02 8.891572184e-02
9.572758796e-01 3.947723090e-02 2.241648800e-02
1.246337803e+00 6.669308576e-02 4.687516551e-02
1.355399878e+00 4.121914436e-02 4.138069108e-02
7.935015581e-01 4.152339448e-02 2.860906230e-02
1.233314499e+00 2.172281826e-02 4.343197296e-02
1.308830703e+00 3.390178015e-02 5.668388753e-02
1.387086974e+00 2.350552192e-02 7.816865737e-02
5.248332113e-01 4.765648216e-02 8.101168703e-02
1.012549448e+00 6.368097705e-02 8.112910044e-02
1.112785680e+00 5.008679588e-02 8.570951684e-02
7.803489516e-01 8.838075342e-02 7.865838039e-02
9.521317266e-01 9.751734865e-02 7.611691950e-02
1.031221089e+00 8.503511143e-02 4.491524342e-02
1.488634563e+00 4.689149194e-02 5.106130266e-02
5.059781689e-01 4.197203605e-02 6.626381332e-02
7.012882856e-01 6.724925892e-02 3.984462826e-02
7.568757963e-01 6.611402712e-02 6.407319021e-02
8.407448391e-01 6.664232163e-02 8.026063977e-02
5.530019625e-01 3.562104164e-02 7.953265082e-02
8.264944954e-01 3.959680095e-02 1.519504435e-02
6.983582072e-01 8.400184524e-02 9.056569611e-02
1.329214909e+00 7.163470304e-02 1.812475429e-02
1.137121629e+00 2.718672759e-02 4.118027322e-02
5.854407357e-01 7.966561969e-02 4.090436397e-02
7.201604373e-01 5.659447868e-02 7.754289290e-02
1.181176006e+00 7.690701263e-02 7.193371201e-02
6.344100894e-01 5.033122696e-02 2.274310669e-02
1.456513691e+00 2.874879268e-02 1.254621523e-02
6.365239774e-01 7.128127732e-02 1.070130982e-02
1.297702139e+00 8.466607250e-02 6.473432744e-02
9.982935225e-01 5.733315261e-02 9.898452628e-02
8.047077274e-01 8.963715012e-02 2.457748088e-02
7.342060522e-01 9.825785094e-02 9.253913530e-02
1.393008166e+00 6.652270215e-02 8.549600068e-02
8.775365040e-01 8.309273103e-02 3.805693964e-02
5.763454516e-01 8.832832362e-02 7.283424793e-02
5.338068544e-01 9.399606141e-02 6.869502641e-02
9.616133222e-01 5.580276586e-02 5.708418845e-02
1.373823961e+00 8.782839949e-02 4.756057690e-02
8.506094910e-01 3.791915996e-02 4.194104293e-02
1.323520552e+00 2.231804530e-02 1.042113055e-02
1.447199074e+00 8.826886984e-02 6.158126810e-02
5.670407099e-01 4.483660282e-02 1.234718976e-02
7.978400906e-01 4.895310716e-02 4.508312773e-02
1.119161016e+00 3.915808796e-02 3.133786331e-02
8.017574296e-01 9.137421761e-02 2.714634941e-02
6.748464511e-01 1.126518149e-02 8.965781671e-02
9.955051952e-01 5.492388767e-02 1.692443650e-02
1.260570400e+00 5.432409732e-02 5.574576567e-02
1.187261577e+00 9.828085603e-02 5.601211590e-02
7.481547795e-01 9.148190602e-02 4.886763039e-02
1.122046594e+00 7.789090186e-02 2.008764340e-02
8.156556908e-01 3.525069285e-02 9.882078409e-02
7.772164172e-01 7.775712758e-02 3.798149195e-02
1.429865211e+00 4.812498625e-02 8.903439599e-02
7.795952691e-01 3.529247695e-02 7.303128733e-02
1.448835016e+00 6.387431130e-02 5.842450618e-02
7.020173513e-01 9.035021275e-02 7.222488585e-02
1.065478415e+00 5.662156749e-02 3.155944890e-02
8.803031304e-01 8.297463206e-02 5.767141208e-02
1.308106727e+00 5.668033511e-02 9.345541743e-02
6.275536679e-01 3.146266657e-02 9.964144267e-02
1.451339551e+00 8.219391657e-02 5.155909324e-02
1.228827357e+00 9.560064274e-02 7.582189151e-02
6.755449978e-01 5.600858669e-02 2.747846439e-02
1.192759094e+00 1.049361774e-02 2.935026356e-02
5.928330237e-01 6.250149397e-02 3.292581523e-02
1.056401571e+00 1.017280886e-02 7.801877461e-02
6.024941347e-01 1.283055591e-02 9.982053822e-02
5.436932413e-01 7.112534096e-02 3.596996907e-02
8.926905067e-01 4.007196667e-02 7.884582494e-02
1.191054061e+00 4.035046990e-02 6.938357026e-02
1.226977431e+00 6.658008669e-02 7.446639484e-02
1.169031599e+00 1.478183764e-02 9.070213421e-02
1.091554734e+00 9.971514620e-02 9.173558822e-02
1.379000552e+00 2.313937254e-02 1.038211735e-02
1.037657653e+00 7.941266527e-02 8.386200777e-02
5.978223977e-01 9.112327192e-02 8.459908624e-02
6.412958235e-01 6.912255786e-02 8.234616675e-02
1.462280089e+00 6.785958896e-02 9.998445649e-02
1.298103904e+00 9.094817234e-02 2.730733954e-02
5.067537721e-01 2.115984688e-02 9.406497162e-02
1.445811544e+00 6.944256192e-02 4.189773201e-02
1.155422586e+00 4.519485069e-02 7.769773153e-02
1.410684569e+00 7.741600490e-02 8.849867111e-02
6.525846598e-01 5.812871066e-02 6.694631073e-02
1.088632319e+00 5.778307516e-02 9.623226838e-02
1.003765600e+00 9.157875271e-02 2.096876500e-02
6.738089820e-01 2.832835445e-02 9.620856429e-02
5.628502983e-01 8.234410566e-02 8.505361687e-02
1.164548334e+00 2.174595467e-02 3.962009023e-02
5.319052560e-01 6.285510604e-02 4.250015003e-02
7.381556001e-01 3.201924166e-02 1.765925022e-02
1.015429654e+00 2.661782755e-02 7.844208109e-02
1.102357820e+00 9.976542972e-02 9.625243655e-02
7.829595317e-01 5.848103197e-02 4.349576890e-02
1.343130003e+00 8.836254185e-02 7.244405079e-02
1.394705574e+00 7.522386925e-02 5.927600961e-02
1.223191227e+00 7.792421471e-02 7.379957287e-02
1.426541415e+00 6.887071170e-02 3.722181659e-02
5.589972348e-01 4.483910188e-02 4.154804471e-02
5.501474633e-01 3.354988104e-02 4.062538898e-02
6.238801222e-01 4.768808466e-02 8.575376571e-02
6.220804415e-01 6.184957474e-02 6.033831246e-02
1.031150148e+00 8.727660630e-02 7.463589195e-02
1.413138042e+00 8.898721374e-02 7.795976327e-02
6.824672703e-01 4.590188881e-02 4.340454831e-02
1.491498710e+00 1.084474964e-02 2.276968907e-02
1.379904890e+00 4.687248027e-02 6.845871567e-02
8.229556341e-01 5.837241946e-02 7.104818214e-02
6.913157057e-01 5.509423927e-02 7.695186535e-02
9.968664343e-01 1.823479539e-02 8.084290196e-02
8.144053207e-01 8.796931480e-02 6.409287473e-02
5.303046585e-01 6.972631163e-02 4.616883124e-02
5.926235247e-01 9.163886605e-02 1.382958523e-02
1.089020349e+00 5.983421406e-02 1.213327048e-02
1.134038382e+00 7.907331550e-02 2.118142299e-02
1.466344484e+00 2.191530926e-02 3.377949612e-02
5.148796844e-01 4.202037424e-02 7.508073058e-02
1.233159984e+00 1.512975102e-02 6.348241292e-02
1.132862855e+00 6.174094875e-02 4.616922595e-02
1.001684921e+00 6.620500318e-02 4.747929101e-02
6.209365537e-01 3.937490009e-02 1.886472129e-02
1.357940386e+00 4.245854307e-02 3.226154753e-02
1.202410875e+00 4.762131838e-02 7.844491220e-02
1.068614029e+00 2.935027070e-02 5.123813004e-02
1.481099211e+00 7.974501713e-02 7.477218525e-02
5.903527012e-01 5.473799747e-02 6.216181828e-02
1.227079771e+00 3.650371559e-02 4.904302919e-02
9.886337018e-01 8.177071716e-02 1.089643583e-02
7.804991420e-01 9.156401344e-02 6.458956227e-02
1.385330267e+00 7.237148128e-02 4.045377175e-02
1.307728177e+00 4.135130756e-02 5.905083430e-02
9.394491661e-01 6.489284277e-02 8.272988520e-02
1.141648121e+00 4.162162596e-02 7.899112268e-02
1.131039061e+00 6.626787326e-02 6.285915252e-02
5.084367241e-01 3.348078031e-02 3.711251818e-02
7.216583475e-01 2.543074611e-02 3.156527897e-02
7.168927835e-01 6.122336701e-02 9.795882955e-02
7.202690278e-01 4.437871984e-02 1.926323268e-02
1.241137214e+00 1.813853028e-02 3.555938536e-02
1.441554009e+00 4.239975487e-02 5.046095144e-02
7.664372994e-01 6.676314404e-02 4.370512411e-02
1.247273308e+00 8.965015238e-02 7.659587786e-02
5.020710767e-01 9.208523245e-02 3.345286045e-02
1.309356321e+00 8.739649384e-02 8.672552617e-02
1.306808892e+00 9.802713123e-02 1.901887042e-02
5.545326666e-01 3.609901708e-02 5.207580522e-02
5.989362828e-01 9.516048296e-02 2.391038280e-02
1.053226569e+00 5.185422778e-02 5.067678212e-02
1.262910553e+00 4.212202992e-02 7.174630089e-02
1.230931237e+00 4.318632202e-02 8.858291022e-02
1.182471044e+00 9.710488161e-02 5.830585245e-02
1.262591309e+00 9.927114779e-02 6.324738852e-02
1.099412526e+00 9.730496927e-02 1.992339443e-02
7.354773729e-01 8.062469158e-02 8.167962786e-02
5.280612918e-01 1.037466223e-02 4.193966823e-02
1.411675838e+00 3.434802526e-02 6.315589998e-02
9.140805996e-01 5.442361856e-02 8.708805518e-02
1.223464080e+00 4.139534308e-02 8.339522111e-02
7.659508736e-01 3.416209732e-02 3.437400164e-02
1.480369577e+00 9.451733857e-02 6.181544592e-02
6.780900024e-01 4.748288021e-02 5.307810726e-02
5.469184186e-01 3.904848117e-02 5.351556781e-02
9.941158084e-01 6.801600749e-02 1.565561380e-02
8.705291174e-01 3.957120934e-02 8.174886845e-02
1.155574256e+00 9.179656400e-02 8.902223728e-02
5.000461286e-01 6.722344336e-02 5.278157893e-02
6.430147252e-01 4.038505236e-02 1.558467510e-02
1.358975880e+00 1.548919921e-02 3.383035235e-02
1.182809970e+00 2.001849800e-02 2.514431802e-02
8.320333062e-01 6.750382002e-02 8.472260678e-02
5.248161990e-01 8.285693009e-02 6.724426040e-02
5.422029167e-01 5.221532071e-02 4.860797469e-02
8.895825129e-01 1.446262690e-02 2.393474690e-02
1.443011313e+00 5.642090887e-02 1.573951564e-02
1.418612070e+00 3.315592873e-02 5.421325330e-02
8.147269675e-01 4.589668067e-02 8.042593619e-02
8.722209592e-01 6.160698546e-02 1.176395755e-02
7.667497430e-01 3.075554743e-02 7.710674671e-02
6.418739544e-01 2.013862273e-02 6.481310666e-02
1.091518522e+00 3.771960667e-02 6.004327131e-02
9.630796144e-01 5.895651138e-02 3.234239922e-02
1.335330328e+00 6.792466890e-02 9.887892017e-02
9.954339489e-01 7.212217343e-02 7.332423388e-02
5.177145233e-01 8.852806309e-02 6.692830934e-02
9.378947086e-01 1.199353122e-02 8.000061449e-02
6.340384129e-01 6.959561741e-02 6.426978266e-02
8.324009697e-01 9.461872962e-02 8.362507681e-02
1.001302700e+00 7.307963754e-02 1.391699232e-02
1.043368711e+00 5.089470201e-02 3.644766375e-02
1.194848901e+00 1.674524819e-02 6.103641095e-02
1.464195746e+00 7.894320116e-02 5.068208826e-02
8.749016270e-01 7.017660830e-02 7.888879110e-02
1.255347800e+00 3.576593442e-02 4.467959640e-02
1.028479739e+00 3.529925384e-02 6.576600823e-02
1.364631462e+00 4.060058186e-02 7.648911501e-02
1.060848997e+00 9.632304224e-02 5.012434899e-02
8.821374518e-01 2.870611841e-02 5.300907121e-02
9.999618889e-01 5.725327269e-02 1.192933070e-02
1.029737869e+00 7.782810731e-02 6.811672189e-02
1.485621960e+00 7.656978055e-02 6.591785422e-02
5.612813748e-01 5.240244675e-02 5.232008341e-02
5.448468954e-01 3.748672201e-02 1.653707026e-02
6.943247914e-01 4.291144288e-02 4.098488261e-02
5.039088036e-01 3.372307629e-02 8.384099666e-02
6.058111752e-01 7.727501162e-02 6.498340742e-02
8.944377343e-01 2.398449814e-02 6.100485196e-02
7.048308706e-01 9.190534383e-02 4.086074742e-02
9.819653689e-01 1.904828546e-02 2.237903034e-02
1.345400145e+00 7.582140546e-02 7.707895796e-02
1.138468218e+00 2.505723516e-02 5.780240118e-02
1.267432200e+00 4.574921558e-02 6.973048107e-02
1.330547857e+00 1.738343860e-02 9.664946407e-02
6.269394929e-01 3.925699419e-02 8.004584615e-02
5.442671816e-01 8.931297232e-02 6.555120405e-02
9.481971236e-01 3.184244679e-02 2.774770954e-02
9.665555556e-01 4.056014742e-02 3.328979679e-02
1.460267487e+00 6.505855980e-02 4.158648533e-02
7.578057775e-01 8.268405912e-02 9.312052185e-02
9.441107527e-01 6.033836831e-02 5.163918257e-02
1.059008379e+00 5.071541055e-02 3.935021568e-02
1.349988825e+00 2.429018583e-02 6.203808523e-02
6.253289326e-01 6.666670537e-02 2.206900100e-02
1.428501378e+00 4.036556157e-02 1.253018503e-02
1.079709037e+00 2.222693253e-02 4.639417346e-02
9.625334108e-01 2.522174275e-02 8.712942264e-02
9.433937361e-01 3.057993597e-02 5.746429777e-02
5.498910467e-01 9.928934000e-02 6.541701661e-02
7.750260949e-01 5.501856378e-02 1.984241879e-02
1.119929186e+00 5.187013286e-02 2.616692580e-02
1.419012177e+00 3.528570401e-02 9.051117177e-02
1.420682467e+00 4.990695825e-02 9.038916965e-02
7.560635633e-01 1.791826711e-02 5.559114736e-02
1.036146329e+00 3.352255844e-02 9.990694183e-02
8.059241484e-01 2.274742500e-02 6.464866791e-02
8.678516973e-01 3.135502350e-02 2.928993470e-02
8.510971544e-01 2.965317462e-02 1.867520843e-02
9.328077319e-01 5.744323246e-02 8.761834660e-02
5.032620899e-01 3.974986199e-02 2.310381157e-02
9.548687781e-01 9.308897460e-02 5.366147690e-02
8.139589934e-01 4.190711494e-02 1.298806860e-02
7.636495989e-01 3.372897136e-02 7.757506007e-02
1.072413035e+00 6.292238597e-02 4.395583915e-02
9.910186574e-01 8.370074024e-02 9.889649486e-02
1.219688860e+00 9.737554957e-02 3.900280043e-02
9.637864108e-01 8.523185071e-02 3.642538075e-02
1.351113462e+00 6.641849669e-02 3.384388520e-02
1.288332671e+00 3.828731162e-02 1.110395545e-02
1.041047256e+00 6.499428570e-02 3.713182611e-02
1.446285307e+00 8.626471791e-02 9.893276690e-02
1.146386005e+00 2.908692723e-02 7.005628323e-02
9.214041082e-01 8.786235372e-02 5.939966663e-02
7.263322701e-01 6.852080737e-02 4.687020747e-02
6.624572393e-01 1.863429624e-02 4.823236378e-02
8.547521890e-01 7.978561005e-02 3.807493400e-02
7.456488420e-01 3.450473774e-02 4.832730673e-02
9.678622980e-01 9.665912326e-02 5.528960371e-02
1.276475269e+00 6.677588226e-02 4.133596969e-02
5.386747363e-01 3.012040796e-02 1.491748009e-02
1.282040262e+00 9.362346496e-02 5.946830078e-02
6.681343017e-01 4.740959846e-02 6.688680032e-02
1.088846034e+00 1.049201245e-02 9.882982796e-02
5.044091749e-01 9.741283668e-02 3.266342998e-02
1.333149122e+00 6.138352933e-02 3.903990307e-02
1.217539473e+00 3.634134315e-02 1.109853378e-02
6.784325325e-01 5.390284637e-02 6.868859788e-02
1.418893424e+00 7.166094683e-02 9.225022330e-02
8.525373097e-01 6.092389956e-02 8.552335718e-02
1.112380585e+00 1.010165637e-02 2.431837437e-02
7.162412078e-01 6.615845280e-02 7.489678966e-02
9.985637682e-01 9.305013867e-02 7.707506379e-02
1.183308723e+00 8.551608240e-02 3.784428442e-02
6.977244924e-01 1.159975918e-02 7.041640721e-02
8.260294153e-01 9.248122120e-02 8.148217615e-02
9.336005591e-01 4.452164411e-02 5.761457602e-02
1.055101544e+00 2.319666064e-02 6.197153319e-02
7.912231279e-01 8.315824081e-02 8.405954492e-02
9.728735621e-01 5.926155218e-02 1.102075327e-02
6.041479326e-01 9.681152958e-02 4.318530174e-02
9.379076721e-01 2.883650634e-02 7.296643575e-02
5.211796858e-01 6.220534509e-02 8.824157770e-02
6.790313162e-01 5.141163968e-02 7.862568992e-02
1.413070197e+00 1.407398080e-02 3.030600918e-02
7.068455785e-01 3.264923165e-02 4.873381806e-02
8.641199125e-01 5.416270158e-02 5.962167421e-02
6.811150108e-01 6.440130364e-02 8.367109376e-02
1.085135702e+00 5.625588776e-02 8.195262127e-02
1.088200117e+00 8.168880837e-02 7.225061633e-02
1.392990961e+00 1.282645048e-02 7.128134719e-02
1.232898102e+00 3.530317984e-02 6.685188386e-02
1.443631820e+00 2.892370464e-02 2.919131562e-02
6.947839164e-01 9.816715017e-02 1.158520048e-02
7.410795417e-01 8.353944994e-02 2.040732225e-02
1.365953527e+00 5.519606537e-02 3.498151640e-02
1.370092290e+00 1.321501758e-02 3.931063130e-02
6.338181318e-01 4.402554715e-02 4.362709976e-02
8.628867556e-01 8.045285607e-02 6.161852128e-02
5.136034778e-01 4.051828462e-02 9.589109157e-02
7.336108833e-01 7.165976032e-02 5.683185915e-02
8.458255949e-01 2.608687219e-02 8.427444097e-02
8.085163984e-01 4.520981737e-02 3.783964049e-02
6.212304028e-01 7.785231520e-02 7.987842521e-02
1.453259646e+00 3.865824806e-02 1.089549939e-02
8.578161495e-01 8.559182054e-02 3.294535546e-02
9.725279235e-01 4.509063823e-02 9.261498228e-02
1.194759689e+00 1.504705987e-02 4.708873634e-02
1.315284042e+00 2.986789374e-02 9.225378746e-02
1.389486544e+00 8.247247244e-02 4.608511978e-02
1.087594729e+00 6.727385150e-02 6.593150963e-02
1.384091388e+00 3.160158259e-02 1.405496276e-02
1.054002797e+00 4.815523313e-02 7.288769892e-02
1.295556879e+00 3.840266662e-02 2.662582366e-02
7.423292252e-01 5.150178620e-02 5.060264716e-02
1.249472343e+00 4.583730699e-02 3.466146337e-02
7.590594585e-01 4.020516762e-02 6.320433580e-02
1.076893653e+00 8.164560952e-02 1.532450822e-02
1.435684612e+00 6.126738055e-02 8.119976805e-02
1.114263841e+00 2.697183916e-02 8.826086027e-02
5.705850222e-01 1.658087306e-02 5.041652862e-02
1.393023577e+00 9.661071523e-02 7.489175621e-02
1.019607589e+00 7.358955570e-02 9.174858160e-02
5.841121458e-01 7.406726995e-02 2.843139259e-02
8.741442388e-01 7.277543307e-02 5.283940610e-02
1.232726295e+00 4.865136139e-02 8.262010729e-02
5.929803804e-01 5.489858234e-02 4.908726601e-02
1.167787668e+00 6.600746582e-02 8.472680492e-02
1.496312841e+00 7.292579390e-02 2.790964598e-02
6.891984050e-01 2.611959374e-02 3.875284974e-02
1.137629454e+00 5.723584963e-02 7.094178729e-02
1.423616342e+00 1.232168340e-02 6.726561438e-02
1.312486431e+00 4.832870638e-02 4.522786034e-02
7.353566844e-01 1.352981454e-02 2.778537978e-02
1.159912601e+00 4.324423804e-02 8.829481477e-02
1.374110693e+00 7.887645428e-02 7.760070509e-02
1.179597775e+00 6.884954864e-02 7.086607979e-02
6.730202838e-01 6.494916353e-02 4.512699710e-02
1.323196167e+00 4.104088416e-02 8.104105304e-02
1.342384300e+00 5.191392729e-02 6.292722910e-02
1.375237272e+00 2.797307031e-02 5.810383581e-02
6.219292989e-01 2.890609935e-02 8.608818355e-02
8.879329945e-01 2.489802198e-02 2.931602874e-02
1.025469093e+00 3.457710116e-02 9.204399550e-02
6.265546095e-01 8.985554431e-02 9.989781652e-02
8.949573995e-01 8.594554743e-02 9.836811593e-02
1.415618539e+00 9.362315290e-02 6.625208468e-02
1.255228591e+00 8.822094853e-02 8.925083549e-02
5.629552036e-01 1.907652214e-02 6.865253895e-02
1.233690354e+00 8.016332338e-02 6.495152307e-02
1.034004289e+00 5.166960922e-02 4.650605725e-02
1.476017562e+00 7.667008129e-02 5.321552759e-02
1.188909306e+00 8.657005337e-02 7.864641113e-02
1.488990323e+00 7.444219487e-02 7.881330158e-02
8.957602412e-01 7.419171965e-02 7.789979461e-02
1.283228884e+00 9.050310354e-02 9.215458576e-02
1.304312433e+00 3.057446624e-02 1.920682163e-02
6.320282726e-01 3.928679465e-02 8.368494770e-02
6.951346882e-01 9.377149388e-02 2.492374592e-02
1.052990919e+00 1.345747061e-02 4.492900955e-02
1.315575082e+00 5.496819185e-02 7.069787526e-02
7.569818755e-01 9.543572645e-02 8.568105703e-02
5.197869472e-01 5.346068623e-02 3.638242722e-02
8.030326954e-01 3.045960746e-02 5.623616172e-02
8.644016966e-01 9.378988111e-02 9.887051620e-02
1.108963772e+00 8.618602468e-02 6.525132213e-02
6.877875901e-01 1.808178873e-02 3.558311322e-02
7.596144484e-01 9.473585077e-02 6.038251428e-02
1.121589340e+00 1.225379698e-02 6.155747736e-02
6.318420860e-01 5.849345371e-02 3.073590478e-02
9.157899584e-01 5.491666875e-02 6.379290732e-02
9.294215336e-01 8.660431478e-02 7.918498710e-02
6.299452329e-01 8.568561694e-02 5.056607016e-02
6.471354922e-01 6.845145238e-02 1.757501484e-02
8.941790480e-01 5.370847469e-02 6.117366437e-02
1.238979056e+00 3.138505561e-02 3.910824843e-02
1.140164543e+00 4.305429122e-02 2.244539851e-02
1.291610008e+00 3.443057932e-02 9.366032653e-02
1.154629628e+00 6.078666068e-02 9.625514640e-02
5.494924775e-01 4.874387688e-02 2.239843121e-02
1.301849941e+00 4.400596726e-02 5.349120588e-02
7.974604657e-01 5.563962016e-02 6.198495981e-02
9.147528908e-01 2.523586136e-02 4.073441932e-02
7.242174794e-01 7.127394667e-02 8.093590168e-02
1.224487191e+00 6.016040491e-02 3.429023436e-02
1.301842832e+00 6.393715487e-02 2.704481245e-02
1.358904567e+00 4.239593849e-02 5.157401850e-02
7.572775093e-01 3.892524445e-02 5.752315328e-02
1.113228887e+00 5.839474685e-02 8.184014784e-02
8.251882098e-01 6.930683340e-02 8.966468811e-02
1.320884105e+00 9.671658242e-02 3.638313794e-02
6.303624179e-01 7.514882174e-02 2.231633377e-02
1.281992091e+00 2.441060656e-02 2.621851311e-02
1.062581172e+00 4.347768056e-02 8.256963733e-02
7.063936876e-01 5.758644588e-02 1.652381798e-02
5.355084631e-01 1.905487819e-02 2.759809418e-02
5.968722401e-01 1.064276926e-02 7.197946165e-02
1.375409225e+00 2.583458374e-02 4.606118932e-02
1.224692739e+00 5.354169276e-02 6.511535672e-02
1.257200389e+00 5.420987363e-02 6.738589344e-02
1.049440860e+00 5.551389852e-02 9.943384227e-02
8.847535762e-01 2.180746644e-02 5.860656327e-02
8.962494188e-01 7.557866396e-02 1.983020844e-02
5.586936363e-01 6.263574936e-02 9.415441231e-02
1.105742340e+00 2.798673998e-02 5.533935153e-02
1.177656152e+00 7.381761035e-02 3.512275517e-02
6.068772960e-01 8.261019418e-02 1.157976403e-02
1.326181653e+00 8.780312717e-02 4.393984938e-02
1.187080735e+00 9.099169224e-02 8.052587570e-02
1.447162072e+00 7.378815236e-02 1.389920632e-02
1.455652856e+00 8.148898614e-02 1.723052294e-02
1.336204332e+00 1.413718039e-02 6.518809677e-02
1.002143637e+00 7.622140694e-02 8.767961272e-02
9.184484165e-01 5.045274931e-02 9.105791800e-02
5.140761916e-01 2.492195287e-02 6.837871304e-02
8.736365833e-01 4.884846820e-02 3.245042416e-02
6.322474693e-01 5.806330350e-02 3.790431619e-02
5.285519958e-01 6.935984302e-02 2.779385589e-02
1.118332460e+00 2.612602370e-02 1.645296082e-02
1.094567940e+00 1.161622433e-02 8.656349615e-02
1.226116315e+00 7.581875449e-02 1.142677214e-02
1.097266598e+00 9.825291371e-02 9.699607460e-02
1.045703013e+00 5.352250216e-02 4.855710883e-02
1.076521383e+00 7.229546443e-02 8.210309886e-02
9.258500204e-01 6.368928967e-02 5.713400710e-02
1.341329475e+00 3.726827607e-02 3.099779215e-02
5.697400247e-01 6.678688256e-02 2.031448671e-02
5.380099774e-01 7.142076767e-02 7.896839001e-02
5.251174187e-01 8.778529912e-02 5.314995786e-02
9.656639881e-01 7.238220806e-02 4.724072542e-02
1.210189632e+00 4.777339405e-02 3.932080016e-02
1.271657227e+00 7.566786122e-02 6.099640597e-02
1.060049109e+00 1.146504592e-02 6.477957385e-02
1.318267187e+00 4.474435803e-02 7.694985550e-02
1.315277173e+00 1.104561652e-02 2.831569115e-02
6.996873896e-01 1.725017831e-02 4.952544115e-02
7.165142479e-01 4.156339021e-02 5.238389615e-02
1.360209460e+00 6.154090596e-02 6.222091186e-02
1.496600994e+00 8.106412063e-02 4.258708218e-02
7.001514767e-01 7.554882112e-02 8.692204804e-02
1.103478659e+00 3.970059046e-02 4.768121381e-02
7.699870012e-01 1.890862974e-02 9.192441098e-02
1.045781636e+00 4.159944960e-02 1.890037503e-02
1.435123159e+00 4.121224725e-02 6.786439634e-02
7.189531150e-01 7.079489945e-02 7.840160249e-02
5.504966511e-01 2.456528484e-02 2.496503629e-02
1.079973267e+00 4.226482397e-02 7.233993564e-02
1.333654526e+00 2.773032683e-02 5.585088389e-02
1.037458431e+00 2.307186849e-02 3.299520992e-02
1.074547471e+00 1.087141384e-02 6.835529394e-02
1.121711896e+00 4.069642829e-02 2.477196025e-02
9.867397864e-01 1.785237102e-02 6.184563867e-02
5.685731059e-01 9.394026018e-02 2.809193309e-02
9.890948640e-01 5.816580641e-02 2.697133667e-02
1.095520519e+00 7.927791455e-02 2.458151857e-02
5.565753895e-01 1.581640630e-02 1.330226707e-02
1.167201834e+00 6.592711736e-02 2.706987521e-02
1.285554547e+00 8.468747841e-02 2.591041866e-02
1.435248191e+00 8.056603608e-02 2.905104379e-02
1.215281157e+00 3.128611641e-02 9.032791295e-02
1.403168919e+00 6.207474051e-02 5.370151880e-02
